1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-83.05,-37.25,-102.59,-98.31,-45.19,-37.25,-17.71,-59.23,-47.63,2.44,-5.5,-48.24,-36.64,-17.71,-54.96,-15.27,-55.57,-56.18,-58.62,-39.08
-81.22,-36.64,-101.98,-97.7,-45.19,-37.86,-17.1,-59.23,-47.63,1.832,-6.11,-48.24,-36.03,-17.71,-54.96,-15.27,-55.57,-56.79,-58.62,-39.08
-80.61,-36.03,-100.76,-96.48,-44.58,-37.25,-17.1,-58.62,-47.63,1.832,-4.89,-48.85,-36.03,-18.32,-54.96,-14.66,-56.18,-56.18,-58.62,-39.08
-79.38,-35.42,-98.31,-95.26,-45.19,-37.25,-17.1,-58.01,-48.24,1.221,-4.89,-48.85,-35.42,-18.93,-54.96,-15.27,-56.18,-56.79,-58.62,-39.08
-77.55,-34.81,-97.09,-93.43,-45.19,-37.86,-16.49,-58.01,-48.24,1.221,-4.27,-48.85,-34.81,-18.32,-55.57,-15.27,-56.18,-56.79,-59.23,-39.69
-77.55,-33.59,-95.87,-92.21,-45.19,-37.25,-15.88,-57.4,-48.24,0.611,-4.27,-48.85,-34.81,-19.54,-55.57,-15.27,-56.18,-56.79,-58.62,-40.3
-75.72,-33.59,-95.26,-90.99,-45.8,-38.47,-16.49,-57.4,-48.24,1.221,-3.66,-49.46,-34.2,-18.93,-54.96,-15.27,-56.79,-57.4,-59.23,-39.69
-74.5,-32.36,-93.43,-89.77,-45.19,-38.47,-16.49,-58.01,-48.85,0.611,-3.66,-49.46,-34.2,-18.93,-55.57,-14.66,-56.79,-57.4,-59.23,-40.3
-73.28,-31.75,-92.21,-88.54,-45.8,-38.47,-15.88,-57.4,-48.85,0,-3.05,-50.07,-34.81,-19.54,-56.18,-14.66,-56.79,-58.01,-59.23,-40.3
-72.06,-31.75,-90.99,-87.32,-45.19,-38.47,-15.88,-57.4,-48.85,0.611,-2.44,-50.68,-34.2,-20.15,-55.57,-15.27,-57.4,-58.01,-59.23,-40.3
-71.45,-31.14,-89.77,-86.1,-45.19,-38.47,-16.49,-57.4,-49.46,0.611,-2.44,-50.68,-33.59,-19.54,-55.57,-15.27,-57.4,-59.23,-59.84,-40.91
-70.22,-31.14,-88.54,-84.88,-45.19,-39.08,-15.88,-57.4,-48.85,0.611,-1.832,-50.68,-33.59,-19.54,-55.57,-15.88,-57.4,-58.62,-59.23,-40.91
-69,-30.53,-87.32,-84.27,-45.19,-39.08,-15.88,-56.79,-49.46,0,-2.44,-50.68,-33.59,-21.37,-56.18,-15.88,-57.4,-58.62,-59.23,-40.91
-68.39,-29.92,-86.1,-83.66,-45.19,-39.08,-15.88,-56.79,-49.46,0,-2.44,-50.68,-33.59,-20.15,-56.18,-15.27,-58.01,-59.23,-59.23,-40.91
-66.56,-29.31,-84.88,-81.83,-45.19,-39.08,-15.88,-56.79,-50.07,-0.611,-1.832,-50.68,-33.59,-21.37,-56.18,-15.27,-58.01,-59.84,-59.84,-41.52
-65.95,-28.7,-83.66,-80.61,-45.19,-39.08,-16.49,-56.79,-50.07,-0.611,-1.221,-50.68,-34.2,-21.37,-56.18,-15.88,-58.62,-59.84,-59.84,-41.52
